LocationType,Location,Race,TimeFrame,DataFormat,Income
County,Kittitas,American Indian and Alaska Native,2010-2014,Currency,75000
County,Kittitas,American Indian and Alaska Native,2011-2015,Currency,62045
County,Kittitas,American Indian and Alaska Native,2012-2016,Currency,64457
County,Kittitas,American Indian and Alaska Native,2013-2017,Currency,64837
County,Kittitas,American Indian and Alaska Native,2014-2018,Currency,88875
County,Kittitas,American Indian and Alaska Native,2015-2019,Currency,74402
County,Klickitat,American Indian and Alaska Native,2005-2009,Currency,"*$19,375"
County,Klickitat,American Indian and Alaska Native,2006-2010,Currency,"*$18,662"
County,Klickitat,American Indian and Alaska Native,2007-2011,Currency,"*$18,750"
County,Klickitat,American Indian and Alaska Native,2008-2012,Currency,"*$18,919"
County,Klickitat,American Indian and Alaska Native,2009-2013,Currency,"*$28,468"
County,Klickitat,American Indian and Alaska Native,2010-2014,Currency,29286
County,Klickitat,American Indian and Alaska Native,2011-2015,Currency,S
County,Klickitat,American Indian and Alaska Native,2012-2016,Currency,31429
County,Klickitat,American Indian and Alaska Native,2013-2017,Currency,31034
County,Klickitat,American Indian and Alaska Native,2014-2018,Currency,47971
County,Klickitat,American Indian and Alaska Native,2015-2019,Currency,NA
County,Lewis,American Indian and Alaska Native,2005-2009,Currency,"*$46,439"
County,Lewis,American Indian and Alaska Native,2006-2010,Currency,"*$33,688"
County,Lewis,American Indian and Alaska Native,2007-2011,Currency,"*$33,672"
County,Lewis,American Indian and Alaska Native,2008-2012,Currency,"*$35,833"
County,Lewis,American Indian and Alaska Native,2009-2013,Currency,"*$69,583"
County,Lewis,American Indian and Alaska Native,2010-2014,Currency,67857
County,Lewis,American Indian and Alaska Native,2011-2015,Currency,58594
County,Lewis,American Indian and Alaska Native,2012-2016,Currency,53906
County,Lewis,American Indian and Alaska Native,2013-2017,Currency,29205
County,Lewis,American Indian and Alaska Native,2014-2018,Currency,NA
County,Lewis,American Indian and Alaska Native,2015-2019,Currency,NA
County,Lincoln,American Indian and Alaska Native,2005-2009,Currency,"*$60,833"
County,Lincoln,American Indian and Alaska Native,2006-2010,Currency,"*$63,125"
County,Lincoln,American Indian and Alaska Native,2007-2011,Currency,"*$63,375"
County,Lincoln,American Indian and Alaska Native,2008-2012,Currency,"*$42,679"
County,Lincoln,American Indian and Alaska Native,2009-2013,Currency,"*$34,167"
County,Lincoln,American Indian and Alaska Native,2010-2014,Currency,S
